ParticipantID,TypingStyle,Group,FirstAOMICondition,UsedComputer?,ComputerUse_mins,EHI-Type,EHI-Answer,EHI-Score,EHI-Mean,EHI-Laterality,KVIQ-ImageryType,KVIQ-MovementType,KVIQ-Dominance,KVIQ-Score,KVIQ-VId(max=20),KVIQ-VInd(max=20),KVIQ-VI_total(max=45),KVIQ-KId(max=20),KVIQ-KInd(max=20),KVIQ-KI_total(max=45),CRT-Hand,CRT-Trial,CRT-Time(secs),CRT-Rhand,CRT_Lhand
Example,Touch,B,AOMIgen,No,0,Writing,Always right,100,87.5,Right,Visual,FSF,nd,4,15,16,35,4,4,9,Left,1,17.65,14.24333333,14.78
Example,,,,,,Throwing,Usually right,50,,,Visual,TFT,d,4,,,,,,,Left,2,13.32,,
Example,,,,,,Toothbrushing,Always right,100,,,Visual,FSF,d,3,,,,,,,Left,3,13.37,,
Example,,,,,,Spoon,Always right,100,,,Visual,TFT,nd,4,,,,,,,Right,1,16.75,,
Example,,,,,,,,,,,Visual,FTF,0,4,,,,,,,Right,2,13.09,,
Example,,,,,,,,,,,Visual,HA,d,4,,,,,,,Right,3,12.89,,
Example,,,,,,,,,,,Visual,FT,nd,4,,,,,,,,,,,
Example,,,,,,,,,,,Visual,HA,nd,4,,,,,,,,,,,
Example,,,,,,,,,,,Visual,FT,d,4,,,,,,,,,,,
Example,,,,,,,,,,,Kinesthetic,FSF,nd,1,,,,,,,,,,,
Example,,,,,,,,,,,Kinesthetic,TFT,d,1,,,,,,,,,,,
Example,,,,,,,,,,,Kinesthetic,FSF,d,1,,,,,,,,,,,
Example,,,,,,,,,,,Kinesthetic,TFT,nd,1,,,,,,,,,,,
Example,,,,,,,,,,,Kinesthetic,FTF,0,1,,,,,,,,,,,
Example,,,,,,,,,,,Kinesthetic,HA,d,1,,,,,,,,,,,
Example,,,,,,,,,,,Kinesthetic,FT,nd,1,,,,,,,,,,,
Example,,,,,,,,,,,Kinesthetic,HA,nd,1,,,,,,,,,,,
Example,,,,,,,,,,,Kinesthetic,FT,d,1,,,,,,,,,,,
1,Touch,A,AOMIspec,Yes,120,Writing,Always right,100,100,Right,Visual,FSF,nd,4,16,16,35,8,8,18,Left,1,18.72,15.94,19.81
1,Touch,A,AOMIspec,Yes,120,Throwing,Always right,100,,Right,Visual,TFT,d,4,,,,,,,Left,2,17.96,,
1,Touch,A,AOMIspec,Yes,120,Toothbrushing,Always right,100,,Right,Visual,FSF,d,4,,,,,,,Left,3,22.75,,
1,Touch,A,AOMIspec,Yes,120,Spoon,Always right,100,,Right,Visual,TFT,nd,4,,,,,,,Right,1,16.9,,
1,Touch,A,AOMIspec,Yes,120,,,,,Right,Visual,FTF,0,3,,,,,,,Right,2,15.96,,
1,Touch,A,AOMIspec,Yes,120,,,,,Right,Visual,HA,d,4,,,,,,,Right,3,14.96,,
1,Touch,A,AOMIspec,Yes,120,,,,,Right,Visual,FT,nd,4,,,,,,,,,,,
1,Touch,A,AOMIspec,Yes,120,,,,,Right,Visual,HA,nd,4,,,,,,,,,,,
1,Touch,A,AOMIspec,Yes,120,,,,,Right,Visual,FT,d,4,,,,,,,,,,,
1,Touch,A,AOMIspec,Yes,120,,,,,Right,Kinesthetic,FSF,nd,2,,,,,,,,,,,
1,Touch,A,AOMIspec,Yes,120,,,,,Right,Kinesthetic,TFT,d,2,,,,,,,,,,,
1,Touch,A,AOMIspec,Yes,120,,,,,Right,Kinesthetic,FSF,d,2,,,,,,,,,,,
1,Touch,A,AOMIspec,Yes,120,,,,,Right,Kinesthetic,TFT,nd,2,,,,,,,,,,,
1,Touch,A,AOMIspec,Yes,120,,,,,Right,Kinesthetic,FTF,0,2,,,,,,,,,,,
1,Touch,A,AOMIspec,Yes,120,,,,,Right,Kinesthetic,HA,d,2,,,,,,,,,,,
1,Touch,A,AOMIspec,Yes,120,,,,,Right,Kinesthetic,FT,nd,2,,,,,,,,,,,
1,Touch,A,AOMIspec,Yes,120,,,,,Right,Kinesthetic,HA,nd,2,,,,,,,,,,,
1,Touch,A,AOMIspec,Yes,120,,,,,Right,Kinesthetic,FT,d,2,,,,,,,,,,,
6,Touch,C,AOMIspec,Yes,180,Writing,Always right,100,100,Right,Visual,FSF,nd,4,18,17,39,12,12,27,Left,1,21.4,24.17,22.25333333
6,Touch,C,AOMIspec,Yes,180,Throwing,Always right,100,,Right,Visual,TFT,d,5,,,,,,,Left,2,22.71,,
6,Touch,C,AOMIspec,Yes,180,Toothbrushing,Always right,100,,Right,Visual,FSF,d,4,,,,,,,Left,3,22.65,,
6,Touch,C,AOMIspec,Yes,180,Spoon,Always right,100,,Right,Visual,TFT,nd,5,,,,,,,Right,1,24.25,,
6,Touch,C,AOMIspec,Yes,180,,,,,Right,Visual,FTF,0,4,,,,,,,Right,2,23.74,,
6,Touch,C,AOMIspec,Yes,180,,,,,Right,Visual,HA,d,5,,,,,,,Right,3,24.52,,
6,Touch,C,AOMIspec,Yes,180,,,,,Right,Visual,FT,nd,4,,,,,,,,,,,
6,Touch,C,AOMIspec,Yes,180,,,,,Right,Visual,HA,nd,4,,,,,,,,,,,
6,Touch,C,AOMIspec,Yes,180,,,,,Right,Visual,FT,d,4,,,,,,,,,,,
6,Touch,C,AOMIspec,Yes,180,,,,,Right,Kinesthetic,FSF,nd,3,,,,,,,,,,,
6,Touch,C,AOMIspec,Yes,180,,,,,Right,Kinesthetic,TFT,d,5,,,,,,,,,,,
6,Touch,C,AOMIspec,Yes,180,,,,,Right,Kinesthetic,FSF,d,3,,,,,,,,,,,
6,Touch,C,AOMIspec,Yes,180,,,,,Right,Kinesthetic,TFT,nd,5,,,,,,,,,,,
6,Touch,C,AOMIspec,Yes,180,,,,,Right,Kinesthetic,FTF,0,3,,,,,,,,,,,
6,Touch,C,AOMIspec,Yes,180,,,,,Right,Kinesthetic,HA,d,2,,,,,,,,,,,
6,Touch,C,AOMIspec,Yes,180,,,,,Right,Kinesthetic,FT,nd,2,,,,,,,,,,,
6,Touch,C,AOMIspec,Yes,180,,,,,Right,Kinesthetic,HA,nd,2,,,,,,,,,,,
6,Touch,C,AOMIspec,Yes,180,,,,,Right,Kinesthetic,FT,d,2,,,,,,,,,,,
10,Touch,E,AOMIspec,No,0,Writing,Always left,-100,-87.5,Left,Visual,FSF,nd,4,17,17,38,8,10,19,Left,1,22.99,20.38666667,19.06666667
10,Touch,E,AOMIspec,No,0,Throwing,Usually left,-50,,Left,Visual,TFT,d,5,,,,,,,Left,2,12.66,,
10,Touch,E,AOMIspec,No,0,Toothbrushing,Always left,-100,,Left,Visual,FSF,d,4,,,,,,,Left,3,21.55,,
10,Touch,E,AOMIspec,No,0,Spoon,Always left,-100,,Left,Visual,TFT,nd,5,,,,,,,Right,1,21.68,,
10,Touch,E,AOMIspec,No,0,,,,,Left,Visual,FTF,0,4,,,,,,,Right,2,19.61,,
10,Touch,E,AOMIspec,No,0,,,,,Left,Visual,HA,d,3,,,,,,,Right,3,19.87,,
10,Touch,E,AOMIspec,No,0,,,,,Left,Visual,FT,nd,4,,,,,,,,,,,
10,Touch,E,AOMIspec,No,0,,,,,Left,Visual,HA,nd,4,,,,,,,,,,,
10,Touch,E,AOMIspec,No,0,,,,,Left,Visual,FT,d,5,,,,,,,,,,,
10,Touch,E,AOMIspec,No,0,,,,,Left,Kinesthetic,FSF,nd,3,,,,,,,,,,,
10,Touch,E,AOMIspec,No,0,,,,,Left,Kinesthetic,TFT,d,2,,,,,,,,,,,
10,Touch,E,AOMIspec,No,0,,,,,Left,Kinesthetic,FSF,d,2,,,,,,,,,,,
10,Touch,E,AOMIspec,No,0,,,,,Left,Kinesthetic,TFT,nd,2,,,,,,,,,,,
10,Touch,E,AOMIspec,No,0,,,,,Left,Kinesthetic,FTF,0,1,,,,,,,,,,,
10,Touch,E,AOMIspec,No,0,,,,,Left,Kinesthetic,HA,d,2,,,,,,,,,,,
10,Touch,E,AOMIspec,No,0,,,,,Left,Kinesthetic,FT,nd,2,,,,,,,,,,,
10,Touch,E,AOMIspec,No,0,,,,,Left,Kinesthetic,HA,nd,3,,,,,,,,,,,
10,Touch,E,AOMIspec,No,0,,,,,Left,Kinesthetic,FT,d,2,,,,,,,,,,,
5,Touch,G,AOMIspec,No,0,Writing,Always right,100,100,Right,Visual,FSF,nd,5,19,19,42,11,12,25,Left,1,22.81,20.35,22.54
5,Touch,G,AOMIspec,No,0,Throwing,Always right,100,,Right,Visual,TFT,d,4,,,,,,,Left,2,22.78,,
5,Touch,G,AOMIspec,No,0,Toothbrushing,Always right,100,,Right,Visual,FSF,d,5,,,,,,,Left,3,22.04,,
5,Touch,G,AOMIspec,No,0,Spoon,Always right,100,,Right,Visual,TFT,nd,5,,,,,,,Right,1,23.26,,
5,Touch,G,AOMIspec,No,0,,,,,Right,Visual,FTF,0,4,,,,,,,Right,2,19.16,,
5,Touch,G,AOMIspec,No,0,,,,,Right,Visual,HA,d,5,,,,,,,Right,3,18.62,,
5,Touch,G,AOMIspec,No,0,,,,,Right,Visual,FT,nd,4,,,,,,,,,,,
5,Touch,G,AOMIspec,No,0,,,,,Right,Visual,HA,nd,5,,,,,,,,,,,
5,Touch,G,AOMIspec,No,0,,,,,Right,Visual,FT,d,5,,,,,,,,,,,
5,Touch,G,AOMIspec,No,0,,,,,Right,Kinesthetic,FSF,nd,3,,,,,,,,,,,
5,Touch,G,AOMIspec,No,0,,,,,Right,Kinesthetic,TFT,d,2,,,,,,,,,,,
5,Touch,G,AOMIspec,No,0,,,,,Right,Kinesthetic,FSF,d,3,,,,,,,,,,,
5,Touch,G,AOMIspec,No,0,,,,,Right,Kinesthetic,TFT,nd,3,,,,,,,,,,,
5,Touch,G,AOMIspec,No,0,,,,,Right,Kinesthetic,FTF,0,2,,,,,,,,,,,
5,Touch,G,AOMIspec,No,0,,,,,Right,Kinesthetic,HA,d,3,,,,,,,,,,,
5,Touch,G,AOMIspec,No,0,,,,,Right,Kinesthetic,FT,nd,3,,,,,,,,,,,
5,Touch,G,AOMIspec,No,0,,,,,Right,Kinesthetic,HA,nd,3,,,,,,,,,,,
5,Touch,G,AOMIspec,No,0,,,,,Right,Kinesthetic,FT,d,3,,,,,,,,,,,
9,Touch,B,AOMIgen,Yes,60,Writing,Always left,-100,-62.5,Left,Visual,FSF,nd,2,15,12,30,12,11,27,Left,1,12.95,17.24333333,12.46333333
9,Touch,B,AOMIgen,Yes,60,Throwing,Usually left,-50,,Left,Visual,TFT,d,4,,,,,,,Left,2,11.94,,
9,Touch,B,AOMIgen,Yes,60,Toothbrushing,Usually left,-50,,Left,Visual,FSF,d,4,,,,,,,Left,3,12.5,,
9,Touch,B,AOMIgen,Yes,60,Spoon,Usually left,-50,,Left,Visual,TFT,nd,3,,,,,,,Right,1,18.56,,
9,Touch,B,AOMIgen,Yes,60,,,,,Left,Visual,FTF,0,3,,,,,,,Right,2,16.34,,
9,Touch,B,AOMIgen,Yes,60,,,,,Left,Visual,HA,d,3,,,,,,,Right,3,16.83,,
9,Touch,B,AOMIgen,Yes,60,,,,,Left,Visual,FT,nd,4,,,,,,,,,,,
9,Touch,B,AOMIgen,Yes,60,,,,,Left,Visual,HA,nd,3,,,,,,,,,,,
9,Touch,B,AOMIgen,Yes,60,,,,,Left,Visual,FT,d,4,,,,,,,,,,,
9,Touch,B,AOMIgen,Yes,60,,,,,Left,Kinesthetic,FSF,nd,2,,,,,,,,,,,
9,Touch,B,AOMIgen,Yes,60,,,,,Left,Kinesthetic,TFT,d,4,,,,,,,,,,,
9,Touch,B,AOMIgen,Yes,60,,,,,Left,Kinesthetic,FSF,d,2,,,,,,,,,,,
9,Touch,B,AOMIgen,Yes,60,,,,,Left,Kinesthetic,TFT,nd,3,,,,,,,,,,,
9,Touch,B,AOMIgen,Yes,60,,,,,Left,Kinesthetic,FTF,0,4,,,,,,,,,,,
9,Touch,B,AOMIgen,Yes,60,,,,,Left,Kinesthetic,HA,d,3,,,,,,,,,,,
9,Touch,B,AOMIgen,Yes,60,,,,,Left,Kinesthetic,FT,nd,3,,,,,,,,,,,
9,Touch,B,AOMIgen,Yes,60,,,,,Left,Kinesthetic,HA,nd,3,,,,,,,,,,,
9,Touch,B,AOMIgen,Yes,60,,,,,Left,Kinesthetic,FT,d,3,,,,,,,,,,,
8,Touch,F,AOMIgen,No,0,Writing,Always right,100,75,Right,Visual,FSF,nd,4,14,15,33,9,8,20,Left,1,26.92,24.14,23.68
8,Touch,F,AOMIgen,No,0,Throwing,Usually right,50,,Right,Visual,TFT,d,4,,,,,,,Left,2,20.79,,
8,Touch,F,AOMIgen,No,0,Toothbrushing,Usually right,50,,Right,Visual,FSF,d,2,,,,,,,Left,3,23.33,,
8,Touch,F,AOMIgen,No,0,Spoon,Always right,100,,Right,Visual,TFT,nd,4,,,,,,,Right,1,31.22,,
8,Touch,F,AOMIgen,No,0,,,,,Right,Visual,FTF,0,4,,,,,,,Right,2,20.58,,
8,Touch,F,AOMIgen,No,0,,,,,Right,Visual,HA,d,4,,,,,,,Right,3,20.62,,
8,Touch,F,AOMIgen,No,0,,,,,Right,Visual,FT,nd,3,,,,,,,,,,,
8,Touch,F,AOMIgen,No,0,,,,,Right,Visual,HA,nd,4,,,,,,,,,,,
8,Touch,F,AOMIgen,No,0,,,,,Right,Visual,FT,d,4,,,,,,,,,,,
8,Touch,F,AOMIgen,No,0,,,,,Right,Kinesthetic,FSF,nd,2,,,,,,,,,,,
8,Touch,F,AOMIgen,No,0,,,,,Right,Kinesthetic,TFT,d,2,,,,,,,,,,,
8,Touch,F,AOMIgen,No,0,,,,,Right,Kinesthetic,FSF,d,3,,,,,,,,,,,
8,Touch,F,AOMIgen,No,0,,,,,Right,Kinesthetic,TFT,nd,2,,,,,,,,,,,
8,Touch,F,AOMIgen,No,0,,,,,Right,Kinesthetic,FTF,0,1,,,,,,,,,,,
8,Touch,F,AOMIgen,No,0,,,,,Right,Kinesthetic,HA,d,2,,,,,,,,,,,
8,Touch,F,AOMIgen,No,0,,,,,Right,Kinesthetic,FT,nd,2,,,,,,,,,,,
8,Touch,F,AOMIgen,No,0,,,,,Right,Kinesthetic,HA,nd,2,,,,,,,,,,,
8,Touch,F,AOMIgen,No,0,,,,,Right,Kinesthetic,FT,d,2,,,,,,,,,,,
12,Touch,D,AOMIgen,Yes,20,Writing,Always right,100,100,Right,Visual,FSF,nd,4,14,15,33,13,13,29,Left,1,16.35,16.84,16.67333333
12,Touch,D,AOMIgen,Yes,20,Throwing,Always right,100,,Right,Visual,TFT,d,3,,,,,,,Left,2,16.47,,
12,Touch,D,AOMIgen,Yes,20,Toothbrushing,Always right,100,,Right,Visual,FSF,d,4,,,,,,,Left,3,17.2,,
12,Touch,D,AOMIgen,Yes,20,Spoon,Always right,100,,Right,Visual,TFT,nd,3,,,,,,,Right,1,18.38,,
12,Touch,D,AOMIgen,Yes,20,,,,,Right,Visual,FTF,0,4,,,,,,,Right,2,15.53,,
12,Touch,D,AOMIgen,Yes,20,,,,,Right,Visual,HA,d,3,,,,,,,Right,3,16.61,,
12,Touch,D,AOMIgen,Yes,20,,,,,Right,Visual,FT,nd,4,,,,,,,,,,,
12,Touch,D,AOMIgen,Yes,20,,,,,Right,Visual,HA,nd,4,,,,,,,,,,,
12,Touch,D,AOMIgen,Yes,20,,,,,Right,Visual,FT,d,4,,,,,,,,,,,
12,Touch,D,AOMIgen,Yes,20,,,,,Right,Kinesthetic,FSF,nd,3,,,,,,,,,,,
12,Touch,D,AOMIgen,Yes,20,,,,,Right,Kinesthetic,TFT,d,4,,,,,,,,,,,
12,Touch,D,AOMIgen,Yes,20,,,,,Right,Kinesthetic,FSF,d,2,,,,,,,,,,,
12,Touch,D,AOMIgen,Yes,20,,,,,Right,Kinesthetic,TFT,nd,4,,,,,,,,,,,
12,Touch,D,AOMIgen,Yes,20,,,,,Right,Kinesthetic,FTF,0,3,,,,,,,,,,,
12,Touch,D,AOMIgen,Yes,20,,,,,Right,Kinesthetic,HA,d,4,,,,,,,,,,,
12,Touch,D,AOMIgen,Yes,20,,,,,Right,Kinesthetic,FT,nd,3,,,,,,,,,,,
12,Touch,D,AOMIgen,Yes,20,,,,,Right,Kinesthetic,HA,nd,3,,,,,,,,,,,
12,Touch,D,AOMIgen,Yes,20,,,,,Right,Kinesthetic,FT,d,3,,,,,,,,,,,
13,HP,E,AOMIspec,No,0,Writing,Always left,-100,-62.5,Left,Visual,FSF,nd,4,16,16,35,5,7,15,Left,1,18.36,18.14,15.70333333
13,HP,E,AOMIspec,No,0,Throwing,Usually right,50,,Left,Visual,TFT,d,4,,,,,,,Left,2,14.34,,
13,HP,E,AOMIspec,No,0,Toothbrushing,Always left,-100,,Left,Visual,FSF,d,4,,,,,,,Left,3,14.41,,
13,HP,E,AOMIspec,No,0,Spoon,Always left,-100,,Left,Visual,TFT,nd,4,,,,,,,Right,1,19.11,,
13,HP,E,AOMIspec,No,0,,,,,Left,Visual,FTF,0,3,,,,,,,Right,2,17.78,,
13,HP,E,AOMIspec,No,0,,,,,Left,Visual,HA,d,4,,,,,,,Right,3,17.53,,
13,HP,E,AOMIspec,No,0,,,,,Left,Visual,FT,nd,4,,,,,,,,,,,
13,HP,E,AOMIspec,No,0,,,,,Left,Visual,HA,nd,4,,,,,,,,,,,
13,HP,E,AOMIspec,No,0,,,,,Left,Visual,FT,d,4,,,,,,,,,,,
13,HP,E,AOMIspec,No,0,,,,,Left,Kinesthetic,FSF,nd,2,,,,,,,,,,,
13,HP,E,AOMIspec,No,0,,,,,Left,Kinesthetic,TFT,d,1,,,,,,,,,,,
13,HP,E,AOMIspec,No,0,,,,,Left,Kinesthetic,FSF,d,2,,,,,,,,,,,
13,HP,E,AOMIspec,No,0,,,,,Left,Kinesthetic,TFT,nd,2,,,,,,,,,,,
13,HP,E,AOMIspec,No,0,,,,,Left,Kinesthetic,FTF,0,3,,,,,,,,,,,
13,HP,E,AOMIspec,No,0,,,,,Left,Kinesthetic,HA,d,1,,,,,,,,,,,
13,HP,E,AOMIspec,No,0,,,,,Left,Kinesthetic,FT,nd,2,,,,,,,,,,,
13,HP,E,AOMIspec,No,0,,,,,Left,Kinesthetic,HA,nd,1,,,,,,,,,,,
13,HP,E,AOMIspec,No,0,,,,,Left,Kinesthetic,FT,d,1,,,,,,,,,,,
14,Touch,G,AOMIspec,Yes,120,Writing,Always left,-100,-25,Mixed ,Visual,FSF,nd,4,18,16,39,14,17,36,Left,1,13.93,19.80666667,13.06333333
14,Touch,G,AOMIspec,Yes,120,Throwing,Both Equally ,0,,Mixed ,Visual,TFT,d,5,,,,,,,Left,2,12.95,,
14,Touch,G,AOMIspec,Yes,120,Toothbrushing,Both Equally ,0,,Mixed ,Visual,FSF,d,5,,,,,,,Left,3,12.31,,
14,Touch,G,AOMIspec,Yes,120,Spoon,Both Equally ,0,,Mixed ,Visual,TFT,nd,4,,,,,,,Right,1,20.35,,
14,Touch,G,AOMIspec,Yes,120,,,,,Mixed ,Visual,FTF,0,5,,,,,,,Right,2,19.65,,
14,Touch,G,AOMIspec,Yes,120,,,,,Mixed ,Visual,HA,d,4,,,,,,,Right,3,19.42,,
14,Touch,G,AOMIspec,Yes,120,,,,,Mixed ,Visual,FT,nd,3,,,,,,,,,,,
14,Touch,G,AOMIspec,Yes,120,,,,,Mixed ,Visual,HA,nd,5,,,,,,,,,,,
14,Touch,G,AOMIspec,Yes,120,,,,,Mixed ,Visual,FT,d,4,,,,,,,,,,,
14,Touch,G,AOMIspec,Yes,120,,,,,Mixed ,Kinesthetic,FSF,nd,5,,,,,,,,,,,
14,Touch,G,AOMIspec,Yes,120,,,,,Mixed ,Kinesthetic,TFT,d,3,,,,,,,,,,,
14,Touch,G,AOMIspec,Yes,120,,,,,Mixed ,Kinesthetic,FSF,d,4,,,,,,,,,,,
14,Touch,G,AOMIspec,Yes,120,,,,,Mixed ,Kinesthetic,TFT,nd,3,,,,,,,,,,,
14,Touch,G,AOMIspec,Yes,120,,,,,Mixed ,Kinesthetic,FTF,0,5,,,,,,,,,,,
14,Touch,G,AOMIspec,Yes,120,,,,,Mixed ,Kinesthetic,HA,d,4,,,,,,,,,,,
14,Touch,G,AOMIspec,Yes,120,,,,,Mixed ,Kinesthetic,FT,nd,4,,,,,,,,,,,
14,Touch,G,AOMIspec,Yes,120,,,,,Mixed ,Kinesthetic,HA,nd,5,,,,,,,,,,,
14,Touch,G,AOMIspec,Yes,120,,,,,Mixed ,Kinesthetic,FT,d,3,,,,,,,,,,,
17,Touch,B,AOMIgen,Yes,15,Writing,Always right,100,100,Right,Visual,FSF,nd,3,14,11,30,15,14,34,Left,1,18.89,18.66666667,18.93333333
17,Touch,B,AOMIgen,Yes,15,Throwing,Always right,100,,Right,Visual,TFT,d,4,,,,,,,Left,2,20.34,,
17,Touch,B,AOMIgen,Yes,15,Toothbrushing,Always right,100,,Right,Visual,FSF,d,3,,,,,,,Left,3,17.57,,
17,Touch,B,AOMIgen,Yes,15,Spoon,Always right,100,,Right,Visual,TFT,nd,4,,,,,,,Right,1,18.93,,
17,Touch,B,AOMIgen,Yes,15,,,,,Right,Visual,FTF,0,5,,,,,,,Right,2,19.49,,
17,Touch,B,AOMIgen,Yes,15,,,,,Right,Visual,HA,d,4,,,,,,,Right,3,17.58,,
17,Touch,B,AOMIgen,Yes,15,,,,,Right,Visual,FT,nd,2,,,,,,,,,,,
17,Touch,B,AOMIgen,Yes,15,,,,,Right,Visual,HA,nd,2,,,,,,,,,,,
17,Touch,B,AOMIgen,Yes,15,,,,,Right,Visual,FT,d,3,,,,,,,,,,,
17,Touch,B,AOMIgen,Yes,15,,,,,Right,Kinesthetic,FSF,nd,3,,,,,,,,,,,
17,Touch,B,AOMIgen,Yes,15,,,,,Right,Kinesthetic,TFT,d,5,,,,,,,,,,,
17,Touch,B,AOMIgen,Yes,15,,,,,Right,Kinesthetic,FSF,d,4,,,,,,,,,,,
17,Touch,B,AOMIgen,Yes,15,,,,,Right,Kinesthetic,TFT,nd,5,,,,,,,,,,,
17,Touch,B,AOMIgen,Yes,15,,,,,Right,Kinesthetic,FTF,0,5,,,,,,,,,,,
17,Touch,B,AOMIgen,Yes,15,,,,,Right,Kinesthetic,HA,d,2,,,,,,,,,,,
17,Touch,B,AOMIgen,Yes,15,,,,,Right,Kinesthetic,FT,nd,3,,,,,,,,,,,
17,Touch,B,AOMIgen,Yes,15,,,,,Right,Kinesthetic,HA,nd,3,,,,,,,,,,,
17,Touch,B,AOMIgen,Yes,15,,,,,Right,Kinesthetic,FT,d,4,,,,,,,,,,,
2,Touch,H,AOMIgen,Yes,300,Writing,Always right,100,100,Right,Visual,FSF,nd,3,11,11,26,14,13,29,Left,1,20.01,16.59333333,19.9
2,Touch,H,AOMIgen,Yes,300,Throwing,Always right,100,,Right,Visual,TFT,d,3,,,,,,,Left,2,19.86,,
2,Touch,H,AOMIgen,Yes,300,Toothbrushing,Always right,100,,Right,Visual,FSF,d,3,,,,,,,Left,3,19.83,,
2,Touch,H,AOMIgen,Yes,300,Spoon,Always right,100,,Right,Visual,TFT,nd,3,,,,,,,Right,1,17.45,,
2,Touch,H,AOMIgen,Yes,300,,,,,Right,Visual,FTF,0,4,,,,,,,Right,2,14.55,,
2,Touch,H,AOMIgen,Yes,300,,,,,Right,Visual,HA,d,3,,,,,,,Right,3,17.78,,
2,Touch,H,AOMIgen,Yes,300,,,,,Right,Visual,FT,nd,2,,,,,,,,,,,
2,Touch,H,AOMIgen,Yes,300,,,,,Right,Visual,HA,nd,3,,,,,,,,,,,
2,Touch,H,AOMIgen,Yes,300,,,,,Right,Visual,FT,d,2,,,,,,,,,,,
2,Touch,H,AOMIgen,Yes,300,,,,,Right,Kinesthetic,FSF,nd,4,,,,,,,,,,,
2,Touch,H,AOMIgen,Yes,300,,,,,Right,Kinesthetic,TFT,d,3,,,,,,,,,,,
2,Touch,H,AOMIgen,Yes,300,,,,,Right,Kinesthetic,FSF,d,4,,,,,,,,,,,
2,Touch,H,AOMIgen,Yes,300,,,,,Right,Kinesthetic,TFT,nd,2,,,,,,,,,,,
2,Touch,H,AOMIgen,Yes,300,,,,,Right,Kinesthetic,FTF,0,2,,,,,,,,,,,
2,Touch,H,AOMIgen,Yes,300,,,,,Right,Kinesthetic,HA,d,3,,,,,,,,,,,
2,Touch,H,AOMIgen,Yes,300,,,,,Right,Kinesthetic,FT,nd,4,,,,,,,,,,,
2,Touch,H,AOMIgen,Yes,300,,,,,Right,Kinesthetic,HA,nd,3,,,,,,,,,,,
2,Touch,H,AOMIgen,Yes,300,,,,,Right,Kinesthetic,FT,d,4,,,,,,,,,,,
